catalog_number,scan_name,provisional_id,layer_in_batch,scan_folder,trip_folder,element,side,site,scan_voxelsize_mm,scanned,true_voxelsize_mm,raw_ply,fill_ply,crop_ply,checked,notes,last_mod,scan_metadata,processor,mod_by,morphosource_tiff,morphosource_surface,morphosource_checked,morphosource_media,citation,"Folder Struct Check[0,1]"
UF326682,CAB11-1027,erinaceomorpha,1,CAB12-1416,201409,M/1 or M/2, ,v09105,0.005187779199,Y,0.005235830333,X,BROKEN,:(,:(,almost all enamel gone plus further breaks on buccal edge.,4/21/15,201409-03,NSV, ,FALSE,FALSE,FALSE,, ,
UF326945,CAB11-1292,leptacodon_donkroni,1,CAB12-1416,201409,P/4,R,v07056,0.005187779199,Y,0.005235830333,X,X,X,X,"NEEDS CLEANING: Large lump on largest cusp, too  big for grit, too smooth for break. Really Plagioctenoides? Keep an eye on it.",2/4/15,201409-03,KLR, ,FALSE,FALSE,FALSE,, ,
UF328499,CAB12-1118,mimoperadectes,1,CAB12-1416,201409,M/2 or M/3,R,v06061,0.005187779199,Y,0.005235830333,X,X,X,X,worn metaconid,2/4/15,201409-03,NSV, ,TRUE,TRUE,TRUE,M9910, ,
UF328783,CAB12-1403,erinaceomorpha,1,CAB12-1416,201409,P/4, ,v06061,0.005187779199,Y,0.005235830333,X,X,X,X,is this niptomomys? This and 12-1037 can't both be niptomomys,4/25/17,201409-03,NSV, ,FALSE,FALSE,FALSE,, ,
UF328796,CAB12-1416,ectypodus,1,CAB12-1416,201409,M/1, ,v08080,0.005187779199,Y,0.005235830333,X,X, , ,"chipped from root to teeth line, broken?, Saved raw and partially filled **FINISH",1/1/17,201409-03,SHH, ,FALSE,FALSE,FALSE,, ,
UF329106,CAB12-1727,rodent,1,CAB12-1416,201409,M/2, ,v12011,0.005187779199,Y,0.005235830333, , , , , ,,201409-03, , ,FALSE,FALSE,FALSE,, ,
UF329108,CAB12-1729,peradectes,1,CAB12-1416,201409,M/2 or M/3, ,v12011,0.005187779199,Y,0.005235830333,X,BROKEN,:(,:(,"lingual margin, nice big chip that affects both the entoconid and metaconid. Plus, the hole below the entoconid. :(",1/22/15,201409-03,NSV, ,FALSE,FALSE,FALSE,, ,
UF326748,CAB11-1094,mimoperadectes,2,CAB12-1416,201409,M/2 or M/3, ,(L)nw0321,0.005187779199,Y,0.005235830333,X,BROKEN,:(,:(,anterior broken?,5/19/15,201409-03,NSV, ,FALSE,FALSE,FALSE,, ,
UF326866,CAB11-1212,rodent,2,CAB12-1416,201409,M/2, ,v08179,0.005187779199,Y,0.005235830333, , , , ,surfaces lost in hard drive crash,,201409-03, , ,FALSE,FALSE,FALSE,, ,
UF327065,CAB11-1412,ectypodus,2,CAB12-1416,201409,M/1, ,v07056,0.005187779199,Y,0.005235830333,BROKEN,:(,:(,:(,"chiped/broken side of teeth, saved raw",12/1/16,201409-03,SHH, ,FALSE,FALSE,FALSE,, ,
UF328433,CAB12-1051,peradectes,2,CAB12-1416,201409,M/2 or M/3, ,v06061,0.005187779199,Y,0.005235830333,X,BROKEN,:(,:(,entoconid/hypoconulid complex sheared off,1/22/15,201409-03,NSV, ,FALSE,FALSE,FALSE,, ,
UF328914,CAB12-1535,macrocranion<,2,CAB12-1416,201409,M/1, ,v12015,0.005187779199,Y,0.005235830333,X,X,X,X, ,4/30/15,201409-03,NSV, ,TRUE,TRUE,FALSE,M41143, ,
UF330221,CAB13-0832,niptomomys,2,CAB12-1416,201409,P/4,R,v06061,0.005187779199,Y,0.005235830333,X,X,X,X, ,2/4/15,201409-03,KLR, ,FALSE,FALSE,FALSE,, ,
UF326551,CAB11-0891,rodent,1,CAB12-1458,201409,M/2,R,v06061,0.005436897934,Y,0.00547923175, , , , ,both R&L in this layer -- be careful,,201409-04, , ,FALSE,FALSE,FALSE,, ,
UF326949,CAB11-1296,rodent,1,CAB12-1458,201409,M/2,L,v07056,0.005436897934,Y,0.00547923175,X,X,X,BROKEN,enamelless,2/20/17,201409-04,NSV, ,FALSE,FALSE,FALSE,, ,
UF328838,CAB12-1458,colpocherus,1,CAB12-1458,201409,M/1, ,v08080,0.005436897934,Y,0.00547923175,X,X,X,X, ,6/30/17,201409-04,NSV, ,TRUE,TRUE,TRUE,M8826, ,
UF329120,CAB12-1741,peradectes,1,CAB12-1458,201409,M/3,R,v08179,0.005436897934,Y,0.00547923175,X,X,X,X,long misID'd as CAB13-0845. Fixed 2/20/17,6/29/17,201409-04,NSV, ,TRUE,TRUE,TRUE,M9912, ,
UF330234,CAB13-0845,peradectes,1,CAB12-1458,201409,M/2,L,v06061,0.005436897934,Y,0.00547923175,X,X,X,X,long misID'd as CAB12-1741. Fixed 2/20/17,6/29/17,201409-04,NSV, ,FALSE,FALSE,FALSE,, ,
UF326464,CAB11-0804,rodent,2,CAB12-1458,201409,M/2,L,v06061,0.005436897934,Y,0.00547923175,X,X,X, ,started fill -- need to finish removing matrix,5/14/15,201409-04,NBM, ,FALSE,FALSE,FALSE,, ,
UF326709,CAB11-1054,colpocherus,2,CAB12-1458,201409,M/1 or M/2, ,v09217,0.005436897934,Y,0.00547923175,X,X,X,BROKEN,enamelless,4/30/15,201409-04,NSV, ,TRUE,TRUE,TRUE,M12605, ,
UF326912,CAB11-1259,peradectes,2,CAB12-1458,201409,M/3,R,v08179,0.005436897934,Y,0.00547923175,X,X,X,X,long misID'd as CAB13-0813. Fixed 2/20/17,6/29/17,201409-04,NSV, ,TRUE,TRUE,TRUE,M9909, ,
UF329125,CAB12-1746,rodent,2,CAB12-1458,201409,M/2,R,v08179,0.005436897934,Y,0.00547923175,X,X,X, ,"need to fix some fill, cropped extra tooth that was leaning agains this tooth in the gelcap",5/14/15,201409-04,EDW, ,FALSE,FALSE,FALSE,, ,
UF330188,CAB13-0799,mimoperadectes,2,CAB12-1458,201409,M/2 or M/3,R,v06061,0.005436897934,Y,0.00547923175,X,X,X,X, ,2/6/15,201409-04,NSV, ,TRUE,TRUE,TRUE,M9916, ,
UF330202,CAB13-0813,peradectes,2,CAB12-1458,201409,M/2,L,v06061,0.005436897934,Y,0.00547923175,X,X,X,X,"long misID'd as CAB11-1259. Fixed 2/20/17; chipped along posterior of ventral margin, but close. Try it and see.",6/29/17,201409-04,NSV, ,TRUE,TRUE,TRUE,M9918, ,
UF326465,CAB11-0805,rodent,3,CAB12-1458,201409,M/2,L,v06061,0.005436897934,Y,0.00547923175, , , , ,initially mislabelled CAB11-0825,,201409-04, , ,FALSE,FALSE,FALSE,, ,
UF326485,CAB11-0825,rodent,3,CAB12-1458,201409,M/2,R,v06061,0.005436897934,Y,0.00547923175,X,X,X,X,initially mislabelled CAB11-0805,5/14/15,201409-04,NBM, ,TRUE,TRUE,TRUE,M12633, ,
UF326899,CAB11-1246,macrocranion<,3,CAB12-1458,201409,M/2, ,v08179,0.005436897934,Y,0.00547923175,X,X,X,X, ,4/30/15,201409-04,NSV, ,TRUE,TRUE,TRUE,M12604, ,
UF330293,CAB13-0904,peradectes,3,CAB12-1458,201409,M/2 or M/3,R,v08182,0.005436897934,Y,0.00547923175,X,BROKEN,:(,:(,"posteroventral buccal side broken off high enough that it's not reconstructable. A tragedy, because the cusps are so beautiful",1/23/15,201409-04,NSV, ,FALSE,FALSE,FALSE,, ,
UF252169,CAB06-0551,mimoperadectes,1,CAB12-1459,201409,M/2 or M/3,L,v06138,0.005436897934,Y,0.00547923175,X,X,X,X, ,2/11/15,201409-04,NSV, ,TRUE,TRUE,TRUE,M8363, ,
UF326387,CAB11-0723,peradectes,1,CAB12-1459,201409,M/2,R,v06061,0.005436897934,Y,0.00547923175,X,X,X,X, ,6/29/17,201409-04,KLR,,TRUE,TRUE,TRUE,M12638, ,
UF326520,CAB11-0860,rodent,1,CAB12-1459,201409,M/2,R,v06061,0.005436897934,Y,0.00547923175,X,X,X,X,"initially mislabelled CAB12-1127; because enamel got chipped off fossil, EDJ is rough. Redid to approximate original EDJ (crop2.ply)",1/12/15,201409-04,KLR; NSV,,TRUE,TRUE,TRUE,M12609, ,
UF328502,CAB12-1121,herpetotherium,1,CAB12-1459,201409,M/2 or M/3,L,v06061,0.005436897934,Y,0.00547923175,X,X,X,X,"cusps enamel-chipped, may have to be excluded",6/29/17,201409-04,NSV, ,FALSE,FALSE,FALSE,, ,
UF328508,CAB12-1127,rodent,1,CAB12-1459,201409,M/2,L,v06061,0.005436897934,Y,0.00547923175,X,X,X,X,intially mislabelled CAB11-0860,1/12/15,201409-04,KLR; NSV,,FALSE,FALSE,FALSE,, ,
UF328839,CAB12-1459,colpocherus,1,CAB12-1459,201409,M/1, ,v08080,0.005436897934,Y,0.00547923175,X,X,X,X, ,7/3/17,201409-04,KLR; NSV,,TRUE,TRUE,TRUE,M8828, ,
UF326678,CAB11-1023,nyctitheriidae,1,CAB12-1647,201409,dP/4?,L,v09105,0.005187778193,Y,0.005235829355,X,X,X,X,"long misID'd as CAB12-1601, fixed 2/20/17; Originally ID'd as peradectes. Not peradectes, too small, trigonid too high and talonid cusps in wrong arrangement, unless this is an m/4?; this doesn't look quite right for Peradectes. Trigonid too anteroposteriorly compressed. Buccal side is broken either way, but still",1/23/15,201409,NSV,,TRUE,TRUE,TRUE,M9896, ,
UF328429,CAB12-1047,rodent,1,CAB12-1647,201409,M/2,L,v06061,0.005187778193,Y,0.005235829355,X,X,X,X, ,1/26/15,201409,KLR,,FALSE,FALSE,FALSE,, ,
UF328430,CAB12-1048,rodent,1,CAB12-1647,201409,M/2,R,v06061,0.005187778193,Y,0.005235829355,X,X,X,X,Maybe grit? Label field saved just in case,1/26/15,201409,KLR,,FALSE,FALSE,FALSE,, ,
UF328980,CAB12-1601,peradectes,1,CAB12-1647,201409,M/4,R,v12016,0.005187778193,Y,0.005235829355,X,X,X,X,"long misID'd as CAB11-1023, fixed 2/20/17  originally listed as M/2 or M/3, is more likely an M/4",1/23/15,201409,NSV,,FALSE,FALSE,FALSE,, ,
UF329026,CAB12-1647,nyctitheriidae,1,CAB12-1647,201409,M/X,L,v12017,0.005187778193,Y,0.005235829355,BROKEN,:(,:(,:(,"buccal edge broken up into cusp. Too bad, cusps are otherwise beautifl",1/23/15,201409,NSV, ,FALSE,FALSE,FALSE,, ,
UF326330,CAB11-0666,colpocherus,1,CAB12-1690,201409,M/1 or M/2, ,v06061,0.005187779199,Y,0.005235830333,X,X,X,BROKEN,beat up. And traingular trigonid. Not colpocherus? Not in this file. *Found! This folder had mis-ID'd teeth. -NSV,1/21/15,201409-03,KLR,KLR,TRUE,TRUE,TRUE,M12639, ,
UF326428,CAB11-0766,mimoperadectes,1,CAB12-1690,201409,M/2 or M/3, ,v06061,0.005187779199,Y,0.005235830333,X,X,X,X,originally entered as CAB12-0766,1/21/15,201409-03,KLR,NSV,TRUE,TRUE,TRUE,M12637, ,
UF326767,CAB11-1113,eulipotyphla,1,CAB12-1690,201409,P/4, ,v07009,0.005187779199,Y,0.005235830333,X,X,X,X,"some damage to protoconid, still usable?",1/30/15,201409-03,KLR,NSV,FALSE,FALSE,FALSE,, ,
UF329069,CAB12-1690,ectypodus,1,CAB12-1690,201409,M/1, ,v09217,0.005187779199,Y,0.005235830333,x,x,x,x, ,1/1/17,201409-03,SHH, ,FALSE,FALSE,FALSE,, ,
UF329115,CAB12-1736,rodent,1,CAB12-1690,201409,M/2, ,v08179,0.005187779199,Y,0.005235830333, , , , , ,3/3/15,201409-03,NSV, ,FALSE,FALSE,FALSE,, ,
UF329146,CAB12-1769,peradectes,1,CAB12-1690,201409,M/2,R,v08179,0.005187779199,Y,0.005235830333,X,X,X,X,"long mis-ID'd as CAB12-1767, changed to 1769 on 2017-10-20; files renamed",6/29/17,201409-03,NSV,KLR,TRUE,TRUE,TRUE,M9913, ,
UF332023,CAB14-0677,macrocranion,1,CAB12-1690,201409,P/4,R,v08087b,0.005187779199,Y,0.005235830333,X,X,X,X, ,4/25/17,201409-03,NSV, ,FALSE,FALSE,FALSE,, ,
UF326495,CAB11-0835,mimoperadectes,2,CAB12-1690,201409,M/2 or M/3, ,v06061,0.005187779199,Y,0.005235830333,X,X,X,X,"hypoconulid/entoconulid chipped off; anteroventral margin broken off enough that I'm concerned, but possibly salvageable. I'm gonna give it a shot.",1/14/15,201409-03,KLR,NSV,TRUE,TRUE,TRUE,M12632, ,
UF326769,CAB11-1115,plagioctenodon_krausae,2,CAB12-1690,201409,M/2, ,v07009,0.005187779199,Y,0.005235830333,X,X,X,X, ,3/3/15,201409-03,NSV, ,TRUE,TRUE,TRUE,M8824, ,
UF328784,CAB12-1404,ectypodus,2,CAB12-1690,201409,M/1, ,v06061,0.005187779199,Y,0.005235830333,X,X,X,X, ,1/14/15,201409-03,KLR,KLR,FALSE,FALSE,FALSE,, ,
UF329017,CAB12-1638,macrocranion,2,CAB12-1690,201409,P/4,L,v12017,0.005187779199,Y,0.005235830333,X,X,X,X,originally entered as CAB12-1630,4/25/17,201409-03,NSV,NSV,FALSE,FALSE,FALSE,, ,
UF329121,CAB12-1742,rodent,2,CAB12-1690,201409,M/2, ,v08179,0.005187779199,Y,0.005235830333,X,X,X,X, ,1/19/15,201409-03,NSV, ,FALSE,FALSE,FALSE,, ,
UF329147,CAB12-1768,peradectes,2,CAB12-1690,201409,M/3,R,v08179,0.005187779199,Y,0.005235830333,X,X,X,X,ventral margin of anterior missing a little. We'll see if it's problematic,6/29/17,201409-03,NSV, ,TRUE,TRUE,TRUE,M9914, ,
UF329545,CAB13-0154,talpavoides,1,CAB13-0154,201409,"dentary M/2, M/3",R,v08179,0.004133984674,Y,0.004198087146,X,X,X,BROKEN,hypoconid broken;,2/25/15,201409,KLR,NSV,FALSE,FALSE,FALSE,, ,
UF330207,CAB13-0818,mimoperadectes,1,CAB13-0818,201409,M/4, ,v06061,0.005683805722,Y,0.00571974726,X,X,X,X,"Chipped, ED junction hard to infer, I compared with other mimo teeth",1/16/15,201409-04,KLR,KLR,FALSE,FALSE,FALSE,, ,
UF330279,CAB13-0890,rodent,1,CAB13-0818,201409,M/2,L,v06055,0.005683805722,Y,0.00571974726, , , , ,both R&L in this layer -- be careful,,201409-04, , ,FALSE,FALSE,FALSE,, ,
UF330377,CAB13-0988,rodent,1,CAB13-0818,201409,M/2,R,v08179,0.005683805722,Y,0.00571974726, , , , ,both R&L in this layer -- be careful,,201409-04, , ,FALSE,FALSE,FALSE,, ,
UF330409,CAB13-1020,macrocranion<,1,CAB13-0818,201409,M/1, ,v08179,0.005683805722,Y,0.00571974726,X,X,X,BROKEN,"raw surface made for ID. Worn. Very worn. Maybe too worn. Also pocked, but salvageable, I think.",4/29/15,201409-04,NSV, ,FALSE,FALSE,FALSE,, ,
UF330210,CAB13-0821,rodent,2,CAB13-0818,201409,M/2,R,v06061,0.005683805722,Y,0.00571974726, , , , ,initially mislabelled CAB13-0903,,201409-04, , ,FALSE,FALSE,FALSE,, ,
UF330292,CAB13-0903,rodent,2,CAB13-0818,201409,M/2,L,v08182,0.005683805722,Y,0.00571974726,X,X,X,X,initially mislabelled CAB13-0821,1/16/15,201409-04,KLR,KLR,FALSE,FALSE,FALSE,, ,
UF330306,CAB13-0917,mimoperadectes,2,CAB13-0818,201409,M/2 or M/3, ,v08182,0.005683805722,Y,0.00571974726,X,X,X,X,talonid - entoconid and hypoconulid chipped? Too much? We'll give it a try and see what happens.,5/28/15,201409-04,NSV, ,FALSE,FALSE,FALSE,, ,
UF330396,CAB13-1007,macrocranion<,2,CAB13-0818,201409,M/2, ,v08179,0.005683805722,Y,0.00571974726,X,X,X,X, ,4/30/15,201409-04,NSV, ,TRUE,TRUE,FALSE,M41150, ,
UF330192,CAB13-0803,rodent,1,CAB13-0887,201409,M/2,L,v06061,0.005936655476,Y,0.005965301255, , , , ,initially mislabelled CAB13-0954[0984?],,201409-06, ,KLR,FALSE,FALSE,FALSE,, ,
UF330276,CAB13-0887,mimoperadectes,1,CAB13-0887,201409,M/2 or M/3,L,v06055,0.005936655476,Y,0.005965301255,X,X,X,X, ,2/11/15,201409-06,NSV, ,TRUE,TRUE,TRUE,M9923, ,
UF330343,CAB13-0954,rodent,1,CAB13-0887,201409,M/2,R,v06054,0.005936655476,Y,0.005965301255,X,X,X,X,initially mislabelled CAB13-0803; junction unclear and large break,1/16/15,201409-06,KLR, ,FALSE,FALSE,FALSE,, ,
UF330260,CAB13-0871,mimoperadectes,2,CAB13-0887,201409,M/2 or M/3, ,v06055,0.005936655476,Y,0.005965301255,X,BROKEN,:(,:(, ,2/11/15,201409-06,NSV, ,FALSE,FALSE,FALSE,, ,
UF330281,CAB13-0892,rodent,2,CAB13-0887,201409,M/2,L,v06055,0.005936655476,Y,0.005965301255,X,X,X,X,"Large break, edges may look weird?; initially mislabelled CAB14-0799",1/21/15,201409-06,KLR,KLR,FALSE,FALSE,FALSE,, ,
UF332145,CAB14-0799,rodent,2,CAB13-0887,201409,M/2,R,v06061,0.005936655476,Y,0.005965301255, , , , ,initially mislabelled CAB13-0892,,201409-06, , ,FALSE,FALSE,FALSE,, ,
UF330219,CAB13-0830,herpetotherium,1,CAB13-0919,201409,M/2 or M/3, ,v06061,0.005936655476,Y,0.005965301255,X,X,X,X,Duplicate scanned in NV12 nF Dia. Specimen moved.,6/29/17,201409-06,KLR,KLR,FALSE,FALSE,FALSE,, ,
UF330287,CAB13-0898,rodent,1,CAB13-0919,201409,M/2,L,v06055,0.005936655476,Y,0.005965301255, , , , ,both R&L in this layer -- be careful,,201409-06, , ,FALSE,FALSE,FALSE,, ,
UF330308,CAB13-0919,mimoperadectes,1,CAB13-0919,201409,M/2 or M/3, ,v08182,0.005936655476,Y,0.005965301255,X,X,BROKEN,:(, ,1/31/15,201409-06,NSV, ,FALSE,FALSE,FALSE,, ,
UF330379,CAB13-0990,macrocranion,1,CAB13-0919,201409,M/1 or M/2, ,v08179,0.005936655476,Y,0.005965301255,X,BROKEN,:(,:(,"Entoconid. Too bad, otherwise very nice.",2/28/15,201409-06,NSV, ,FALSE,FALSE,FALSE,, ,
UF331993,CAB14-0647,rodent,1,CAB13-0919,201409,M/2,R,v08179,0.005936655476,Y,0.005965301255, , , , ,both R&L in this layer -- be careful,,201409-06, , ,FALSE,FALSE,FALSE,, ,
UF330256,CAB13-0867,colpocherus,2,CAB13-0919,201409,M/1, ,v06055,0.005936655476,Y,0.005965301255,X,X,X,X, ,6/30/17,201409-06,NSV, ,TRUE,TRUE,FALSE,M41149, ,
UF330321,CAB13-0932,rodent,2,CAB13-0919,201409,M/2,L,v08182,0.005936655476,Y,0.005965301255, , , , ,both R&L in this layer -- be careful,,201409-06, , ,FALSE,FALSE,FALSE,, ,
UF330365,CAB13-0976,peradectes,2,CAB13-0919,201409,M/3,R,v12016,0.005936655476,Y,0.005965301255,X,X,X,X, ,6/29/17,201409-06,NSV, ,TRUE,TRUE,TRUE,M9926, ,
UF332035,CAB14-0689,rodent,2,CAB13-0919,201409,M/2,R,v14048,0.005936655476,Y,0.005965301255, , , , ,both R&L in this layer -- be careful,,201409-06, , ,FALSE,FALSE,FALSE,, ,
UF330194,CAB13-0805,rodent,1,CAB13-0955,201409,M/2,R,v06061,0.005936655476,Y,0.005965301255, , , , ,both R&L in this layer -- be careful,,201409-06, , ,FALSE,FALSE,FALSE,, ,
UF330283,CAB13-0894,peradectes,1,CAB13-0955,201409,M/2 or M/3, ,v06055,0.005936655476,Y,0.005965301255, ,BROKEN,:(,:(,"hypoconulid broken off, otherwise good; raw surface lost in crash",1/2/17,201409-06,NSV, ,FALSE,FALSE,FALSE,, ,
UF330301,CAB13-0912,rodent,1,CAB13-0955,201409,M/2,L,v08182,0.005936655476,Y,0.005965301255, , , , ,both R&L in this layer -- be careful,,201409-06, , ,FALSE,FALSE,FALSE,, ,
UF330344,CAB13-0955,mimoperadectes,1,CAB13-0955,201409,M/2 or M/3, ,v06054,0.005936655476,Y,0.005965301255,X,X,BROKEN,:(, ,2/11/15,201409-06,NSV, ,FALSE,FALSE,FALSE,, ,
UF330411,CAB13-1022,plagioctenodon_krausae,1,CAB13-0955,201409,M/2, ,v08179,0.005936655476,Y,0.005965301255,X,X,X,X, ,4/30/15,201409-06,NSV, ,FALSE,FALSE,FALSE,, ,
UF330336,CAB13-0947,rodent,2,CAB13-0955,201409,M/2,R,v08182,0.005936655476,Y,0.005965301255, , , , ,both R&L in this layer -- be careful,,201409-06, , ,FALSE,FALSE,FALSE,, ,
UF330342,CAB13-0953,rodent,2,CAB13-0955,201409,M/2,L,v06054,0.005936655476,Y,0.005965301255, , , , ,both R&L in this layer -- be careful,,201409-06, , ,FALSE,FALSE,FALSE,, ,
UF330354,CAB13-0965,mimoperadectes,2,CAB13-0955,201409,M/4, ,v12015,0.005936655476,Y,0.005965301255,X,X,X,X,"M/4, and worn",5/19/15,201409-06,NSV, ,FALSE,FALSE,FALSE,, ,
UF326500,CAB11-0840,rodent,1,CAB13-1024,201409,M/2,R,v06061,0.005436897934,Y,0.00547923175, , , , ,both R&L in this layer -- be careful,,201409-04, , ,FALSE,FALSE,FALSE,, ,
UF326583,CAB11-0926,rodent,1,CAB13-1024,201409,M/2,L,v06061,0.005436897934,Y,0.00547923175, , , , ,both R&L in this layer -- be careful,,201409-04, , ,FALSE,FALSE,FALSE,, ,
UF330289,CAB13-0900,macrocranion,1,CAB13-1024,201409,M/1 or M/2, ,v08182,0.005436897934,Y,0.00547923175,X,BROKEN,:(,:(,entoconid gone,1/23/15,201409-04,NSV, ,FALSE,FALSE,FALSE,, ,
UF330295,CAB13-0906,mimoperadectes,1,CAB13-1024,201409,M/2 or M/3,L,v08182,0.005436897934,Y,0.00547923175,X,X,X,X,anterior crest? A little worn on trigonid.,2/6/15,201409-04,NSV, ,TRUE,TRUE,TRUE,M9924, ,
UF330413,CAB13-1024,ectypodus,1,CAB13-1024,201409,M/1, ,v08179,0.005436897934,Y,0.00547923175,BROKEN,:(,:(,:(,"really worn down, possibly broken, saved raw",12/1/16,201409-04,SHH, ,FALSE,FALSE,FALSE,, ,
UF330414,CAB13-1025,pontifactor,1,CAB13-1024,201409,M/1, ,v08179,0.005436897934,Y,0.00547923175,X,X,X,X,"intially mislabelled CAB13-0900; talonid is all wrong for marsupial, but paracone to cone-ish, not shelf-y enough for erinaceomorph. Nyctithere?",4/25/17,201409-04,NSV, ,FALSE,FALSE,FALSE,, ,
UF326869,CAB11-1215,rodent,2,CAB13-1024,201409,M/2,L,v08179,0.005436897934,Y,0.00547923175, , , , ,both R&L in this layer -- be careful,,201409-04, , ,FALSE,FALSE,FALSE,, ,
UF330277,CAB13-0888,rodent,2,CAB13-1024,201409,M/2,R,v06055,0.005436897934,Y,0.00547923175, , , , ,both R&L in this layer -- be careful,,201409-04, , ,FALSE,FALSE,FALSE,, ,
UF330300,CAB13-0911,mimoperadectes,2,CAB13-1024,201409,M/4, ,v08182,0.005436897934,Y,0.00547923175,X,X,X,X,"M/4, also, pocked",5/19/15,201409-04,NSV, ,FALSE,FALSE,FALSE,, ,
UF330399,CAB13-1010,peradectes,2,CAB13-1024,201409,M/2,L,v08179,0.005436897934,Y,0.00547923175,X,X,X,X,in hematite-purple-iron-y-stuff,6/29/17,201409-04,NSV, ,TRUE,TRUE,TRUE,M9927, ,
UF330400,CAB13-1011,ectypodus,2,CAB13-1024,201409,M/1, ,v08179,0.005436897934,Y,0.00547923175,X, , , ,"***WORTH REPAIRING; holes in teeth, saved raw;",1/1/17,201409-04,SHH, ,FALSE,FALSE,FALSE,, ,
UF330408,CAB13-1019,talpavoides,2,CAB13-1024,201409,M/2, ,v08179,0.005436897934,Y,0.00547923175,X,X,X,X,in partial dentary,6/30/17,201409-04,NSV,NSV,TRUE,TRUE,FALSE,M41151, ,
UF331629,CAB14-0285,rodent,1,CAB14-0285,201409,M/2, ,v13044,0.0111173972,Y,0.01082978352, , , , , ,,201409, , ,FALSE,FALSE,FALSE,, ,
UF325961,CAB11-0294,peradectes,1,CAB14-0656,201409,M/2 or M/3, ,v06061,0.0066080544,Y,0.006613652872,X,BROKEN,:(,:(,"originally catalogued as Peradectes, is really Herpetotherium (slender cusps, hypoconulid projection); M/2 busted, M/3 has nice trigonid, missing entoconid and hypoconulid",11/14/17,201409-07,NSV, ,TRUE,FALSE,TRUE,M12642, ,
UF328669,CAB12-1289,peradectes,1,CAB14-0656,201409,dentary M/3, ,v06061,0.0066080544,Y,0.006613652872,X,X,X,X,"dent also contains M/4, but M/4 broken; *redid the hand segmented cusp, let me know what you think, if it needs further work",6/29/17,201409-07,KMC, ,FALSE,FALSE,FALSE,, ,
UF332002,CAB14-0656,eulipotyphla,1,CAB14-0656,201409,M/1, ,v08179,0.0066080544,Y,0.006613652872,X,X,X,BROKEN,"Jaw, label field saved; id-maybe; looks nyctithere-ish to me. Only need anterior one. Posterior one (m/2) has big chip out of talonid basin-NSV",2/25/15,201409-07,KLR, ,FALSE,FALSE,FALSE,, ,
UF253591,UF253591,colpocherus,1,CAB14-0656,201409,"dentary P/4, M/1", ,v08133,0.0066080544,Y,0.006613652872,X,X,X,X, ,7/3/17,201409-07,NSV, ,TRUE,TRUE,TRUE,M8232, ,
UF331480,CAB14-0138,peradectes,2,CAB14-0656,201409,M/2, ,v08179,0.0066080544,Y,0.006613652872,X,X,X,X,"duplicate in NV8_rescan (UF_NRF) moved here, also has noticably bad beam hardening/ problems with minerals inside the fossil. Cropped anyway",6/29/17,201409-07,NSV, ,FALSE,FALSE,FALSE,, ,
UF295721,UF295721,ectypodus,2,CAB14-0656,201409,M/1, ,v12029,0.0066080544,Y,0.006613652872,x,x,x,x, ,11/20/16,201409-07,SHH, ,FALSE,FALSE,FALSE,, ,
UF332006,CAB14-0660,peradectes,1,CAB14-0660,201409,M/3, ,v08179,0.00571349496,Y,0.005748618951,X,X,X,X, ,6/29/17,201409-08,NSV, ,FALSE,FALSE,FALSE,, ,
UF332054,CAB14-0708,macrocranion<,1,CAB14-0660,201409,M/2, ,v14047,0.00571349496,Y,0.005748618951,X,X,X,X, ,4/27/15,201409-08,NSV, ,TRUE,TRUE,FALSE,M41160, ,
UF332151,CAB14-0805,nyctitheriidae,1,CAB14-0660,201409,P/4, ,v06061,0.00571349496,Y,0.005748618951,X,X,X,X, ,4/25/17,201409-08,KMC,NSV,FALSE,FALSE,FALSE,, ,
UF283717,UF283717,macrocranion,1,CAB14-0660,201409,P/4, ,v12029,0.00571349496,Y,0.005748618951,X,X,X,X, ,4/25/17,201409-08,NSV, ,TRUE,TRUE,TRUE,M8300, ,
UF295704,UF295704,ectypodus,1,CAB14-0660,201409,M/1, ,v12029,0.00571349496,Y,0.005748618951,x,x,x,BROKEN,chipped? Broken?,11/20/16,201409-08,SHH, ,FALSE,FALSE,FALSE,, ,
UF332037,CAB14-0691,talpavoides,2,CAB14-0660,201409,P/4, ,v14047,0.00571349496,Y,0.005748618951,X,X,X,X,possibly broken? Keep an eye on it.,3/12/15,201409-08,KMC, ,FALSE,FALSE,FALSE,, ,
UF332084,CAB14-0738,eulipotyphla,2,CAB14-0660,201409,"dentary M/1, M/2", ,v14047,0.00571349496,Y,0.005748618951,X,BROKEN,:(,:(,"M/2  paraconid and metaconid broken, M/1 worn extinsively so that paraconid almost entirely gone",2/25/15,201409-08,KLR,NSV,FALSE,FALSE,FALSE,, ,
UF283180,UF283180,herpetotherium,2,CAB14-0660,201409,M/2 or M/3, ,v12029,0.00571349496,Y,0.005748618951,X,X,X,X,"both wear tracks and bits of enamel gone on lingual side. Nothing to fill in, but maybe not so broken that it can't be used? Unclear.",6/29/17,201409-08,NSV, ,TRUE,TRUE,TRUE,M8631, ,
UF283732,UF283732,macrocranion,2,CAB14-0660,201409,P/4, ,v12029,0.00571349496,Y,0.005748618951,X,X,X,X, ,4/25/17,201409-08,NSV, ,TRUE,TRUE,TRUE,M8301, ,
